run_id,git_commit,dirty,scene,candidate,view,pos_x,pos_y,pos_z,target_x,target_y,target_z,up_x,up_y,up_z,focal,dir_x,dir_y,dir_z,screen_res,hit_fraction,median_hit_over_diagonal,p10_hit_over_diagonal,accepted,reject_reason,scene_diagonal
phase0_2026_09_01,fc3a28f,1,hairball.obj,14,,-1.215527,-2.961675,-0.699745,1.893753,1.863863,0.323273,0.000000,1.000000,0.000000,50.000,0.533237,0.827573,0.175446,64,1.00000,0.03846,0.01747,0,median hit distance too short,15.914934
phase0_2026_09_01,fc3a28f,1,hairball.obj,15,,-0.648898,-3.020442,-0.673317,-0.675730,-1.473964,1.252054,0.000000,1.000000,0.000000,50.000,-0.010864,0.626183,0.779600,64,1.00000,0.03123,0.01028,0,median hit distance too short,15.914934
phase0_2026_09_01,fc3a28f,1,hairball.obj,16,,-1.017063,-2.366102,-1.141703,-1.834228,-0.444704,2.993497,0.000000,1.000000,0.000000,50.000,-0.176401,0.414771,0.892663,64,1.00000,0.04384,0.02048,0,median hit distance too short,15.914934
phase0_2026_09_01,fc3a28f,1,hairball.obj,17,,-0.555421,-1.587471,-0.570765,-0.299830,0.101588,2.423379,0.000000,1.000000,0.000000,50.000,0.074145,0.489981,0.868574,64,1.00000,0.00929,0.00836,0,median hit distance too short,15.914934
phase0_2026_09_01,fc3a28f,1,hairball.obj,18,,-1.113775,-1.842393,0.540562,1.695146,-1.500529,3.467812,0.000000,1.000000,0.000000,50.000,0.689928,0.083969,0.718992,64,1.00000,0.00282,0.00243,0,median hit distance too short,15.914934
phase0_2026_09_01,fc3a28f,1,hairball.obj,19,,-3.687959,-1.162545,-1.056503,0.782952,-0.165114,1.822753,0.000000,1.000000,0.000000,50.000,0.826332,0.184349,0.532156,64,1.00000,0.03629,0.01032,0,median hit distance too short,15.914934
phase0_2026_09_01,fc3a28f,1,hairball.obj,20,,-4.004764,-0.029429,-0.166175,2.500136,-1.100258,2.217809,0.000000,1.000000,0.000000,50.000,0.927911,-0.152752,0.340071,64,1.00000,0.04870,0.01224,0,median hit distance too short,15.914934
phase0_2026_09_01,fc3a28f,1,hairball.obj,21,,-2.347497,-1.003193,-0.456192,-2.256986,2.074496,1.095862,0.000000,1.000000,0.000000,50.000,0.026250,0.892581,0.450122,64,0.99976,0.00998,0.00833,0,median hit distance too short,15.914934
phase0_2026_09_01,fc3a28f,1,hairball.obj,22,,-1.713207,-0.138170,-0.562490,-0.312608,1.793790,0.694756,0.000000,1.000000,0.000000,50.000,0.519282,0.716287,0.466132,64,1.00000,0.00320,0.00215,0,median hit distance too short,15.914934
phase0_2026_09_01,fc3a28f,1,hairball.obj,23,,-2.460366,-0.499536,0.276750,-0.530998,1.791205,3.334448,0.000000,1.000000,0.000000,50.000,0.450774,0.535204,0.714394,64,1.00000,0.02374,0.01078,0,median hit distance too short,15.914934
