run_id,git_commit,dirty,scene,variant,loss_kind,mu,depth_band,band_nodes,band_visits_reference,changed_nodes,changed_visits_reference,changed_nodes_pct_of_band,changed_visits_pct_of_band,share_of_changed_visits,share_of_reference_visits,source
gatec_2026_09_02,ca4d67f,1,intel-sponza.obj,scalar_mu1.00,sah+Lscalar,1.0000,24-31,3192072,292642,45738,1138,1.4329,0.3889,0.000220,0.008303,S-measured
gatec_2026_09_02,ca4d67f,1,intel-sponza.obj,scalar_mu2.00,sah+Lscalar,2.0000,0-3,15,4421415,2,78314,13.3333,1.7712,0.010375,0.125454,S-measured
gatec_2026_09_02,ca4d67f,1,intel-sponza.obj,scalar_mu2.00,sah+Lscalar,2.0000,4-7,240,10028375,58,4258708,24.1667,42.4666,0.564199,0.284547,S-measured
gatec_2026_09_02,ca4d67f,1,intel-sponza.obj,scalar_mu2.00,sah+Lscalar,2.0000,8-11,3800,11044126,877,1915763,23.0789,17.3464,0.253803,0.313369,S-measured
gatec_2026_09_02,ca4d67f,1,intel-sponza.obj,scalar_mu2.00,sah+Lscalar,2.0000,12-15,51312,4770491,10449,828641,20.3637,17.3701,0.109779,0.135359,S-measured
gatec_2026_09_02,ca4d67f,1,intel-sponza.obj,scalar_mu2.00,sah+Lscalar,2.0000,16-23,4246456,4686205,327930,465477,7.7224,9.9329,0.061667,0.132967,S-measured
gatec_2026_09_02,ca4d67f,1,intel-sponza.obj,scalar_mu2.00,sah+Lscalar,2.0000,24-31,3192072,292642,59277,1336,1.8570,0.4565,0.000177,0.008303,S-measured
gatec_2026_09_02,ca4d67f,1,intel-sponza.obj,directional_mu0.25,sah+Ldir,0.2500,0-3,15,4421415,0,0,0.0000,0.0000,0.000000,0.125454,S-measured
gatec_2026_09_02,ca4d67f,1,intel-sponza.obj,directional_mu0.25,sah+Ldir,0.2500,4-7,240,10028375,7,315221,2.9167,3.1433,0.391760,0.284547,S-measured
gatec_2026_09_02,ca4d67f,1,intel-sponza.obj,directional_mu0.25,sah+Ldir,0.2500,8-11,3800,11044126,197,53077,5.1842,0.4806,0.065965,0.313369,S-measured
gatec_2026_09_02,ca4d67f,1,intel-sponza.obj,directional_mu0.25,sah+Ldir,0.2500,12-15,51312,4770491,3250,340655,6.3338,7.1409,0.423370,0.135359,S-measured
gatec_2026_09_02,ca4d67f,1,intel-sponza.obj,directional_mu0.25,sah+Ldir,0.2500,16-23,4246456,4686205,119503,95340,2.8142,2.0345,0.118490,0.132967,S-measured
gatec_2026_09_02,ca4d67f,1,intel-sponza.obj,directional_mu0.25,sah+Ldir,0.2500,24-31,3192072,292642,21521,335,0.6742,0.1145,0.000416,0.008303,S-measured
gatec_2026_09_02,ca4d67f,1,intel-sponza.obj,directional_mu0.50,sah+Ldir,0.5000,0-3,15,4421415,0,0,0.0000,0.0000,0.000000,0.125454,S-measured
gatec_2026_09_02,ca4d67f,1,intel-sponza.obj,directional_mu0.50,sah+Ldir,0.5000,4-7,240,10028375,12,315221,5.0000,3.1433,0.220952,0.284547,S-measured
gatec_2026_09_02,ca4d67f,1,intel-sponza.obj,directional_mu0.50,sah+Ldir,0.5000,8-11,3800,11044126,376,499688,9.8947,4.5245,0.350253,0.313369,S-measured
gatec_2026_09_02,ca4d67f,1,intel-sponza.obj,directional_mu0.50,sah+Ldir,0.5000,12-15,51312,4770491,5579,453171,10.8727,9.4995,0.317647,0.135359,S-measured
gatec_2026_09_02,ca4d67f,1,intel-sponza.obj,directional_mu0.50,sah+Ldir,0.5000,16-23,4246456,4686205,187692,157964,4.4200,3.3708,0.110724,0.132967,S-measured
gatec_2026_09_02,ca4d67f,1,intel-sponza.obj,directional_mu0.50,sah+Ldir,0.5000,24-31,3192072,292642,33374,604,1.0455,0.2064,0.000423,0.008303,S-measured
gatec_2026_09_02,ca4d67f,1,intel-sponza.obj,directional_mu1.00,sah+Ldir,1.0000,0-3,15,4421415,2,78314,13.3333,1.7712,0.014267,0.125454,S-measured
gatec_2026_09_02,ca4d67f,1,intel-sponza.obj,directional_mu1.00,sah+Ldir,1.0000,4-7,240,10028375,48,3022456,20.0000,30.1390,0.550621,0.284547,S-measured
gatec_2026_09_02,ca4d67f,1,intel-sponza.obj,directional_mu1.00,sah+Ldir,1.0000,8-11,3800,11044126,684,1572614,18.0000,14.2394,0.286493,0.313369,S-measured
