run_id,git_commit,dirty,scene,scene_sha256,builder,layout,mode,ray_set,ray_seed,rayset_hash,query_kind,ratio_bin,candidate_count,relevant_hit_count,false_positive_count,invalid_count,probe_node_steps,probe_prim_steps,probe_box_tests,probe_tri_tests,false_positive_node_steps,false_positive_prim_steps,false_positive_box_tests,false_positive_tri_tests,source_analytic,source_steps
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,diffuse_1,A,6850038901228734019,closest_improves_incumbent,q_20_30,1589,77,1512,0,3067,3918,6134,3918,2870,3709,5740,3709,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,diffuse_1,A,6850038901228734019,closest_improves_incumbent,q_30_40,1485,93,1392,0,3741,3651,7482,3651,3467,3411,6934,3411,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,diffuse_1,A,6850038901228734019,closest_improves_incumbent,q_40_50,2425,183,2242,0,5275,4686,10550,4686,4886,4331,9772,4331,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,diffuse_1,A,6850038901228734019,closest_improves_incumbent,q_50_60,1922,208,1714,0,8504,4748,17008,4748,7500,4173,15000,4173,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,diffuse_1,A,6850038901228734019,closest_improves_incumbent,q_60_70,2270,191,2079,0,12408,5687,24816,5687,10922,5020,21844,5020,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,diffuse_1,A,6850038901228734019,closest_improves_incumbent,q_70_80,2216,202,2014,0,14993,6302,29986,6302,13180,5548,26360,5548,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,diffuse_1,A,6850038901228734019,closest_improves_incumbent,q_80_90,2431,248,2183,0,19342,8264,38684,8264,16578,7158,33156,7158,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,diffuse_1,A,6850038901228734019,closest_improves_incumbent,q_90_100,3032,429,2603,0,23463,9375,46926,9375,19772,7750,39544,7750,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,diffuse_1,A,6850038901228734019,closest_improves_incumbent,raw_gt_1,17601,2559,15042,0,299873,71802,599746,71802,227319,53231,454638,53231,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,diffuse_1,A,6850038901228734019,closest_improves_incumbent,invalid,0,0,0,0,0,0,0,0,0,0,0,0,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,diffuse_1,B,4471768159497229620,closest_improves_incumbent,q_00_10,4275,67,4208,0,1293,5411,2586,5411,1257,5313,2514,5313,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,diffuse_1,B,4471768159497229620,closest_improves_incumbent,q_10_20,2288,71,2217,0,3020,4789,6040,4789,2876,4607,5752,4607,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,diffuse_1,B,4471768159497229620,closest_improves_incumbent,q_20_30,1523,75,1448,0,2955,3699,5910,3699,2816,3535,5632,3535,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,diffuse_1,B,4471768159497229620,closest_improves_incumbent,q_30_40,1379,82,1297,0,3684,3569,7368,3569,3363,3335,6726,3335,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,diffuse_1,B,4471768159497229620,closest_improves_incumbent,q_40_50,2348,204,2144,0,5011,4478,10022,4478,4508,4016,9016,4016,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,diffuse_1,B,4471768159497229620,closest_improves_incumbent,q_50_60,1745,199,1546,0,7495,4168,14990,4168,6528,3586,13056,3586,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,diffuse_1,B,4471768159497229620,closest_improves_incumbent,q_60_70,2064,203,1861,0,11425,5537,22850,5537,9769,4808,19538,4808,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,diffuse_1,B,4471768159497229620,closest_improves_incumbent,q_70_80,2286,234,2052,0,14333,6004,28666,6004,12211,5069,24422,5069,S-analytic,S-probe-counterfactual
